N,P,K,temperature,humidity,ph,label,fertilizer
35.5,28.7,79.9,23.09,65.84,5.75,sweet_potato,Muriate of Potash (0-0-60)
44.9,25.1,70.3,27.4,78.18,5.8,pineapple,Muriate of Potash (0-0-60)
39.4,26.2,69.9,25.17,74.5,5.68,pineapple,Muriate of Potash (0-0-60)
89.7,74.9,53.3,25.29,86.29,6.26,banana,Muriate of Potash (0-0-60)
49.8,55.0,53.4,29.83,79.06,6.19,papaya,Complete (14-14-14)
79.0,34.3,41.8,20.93,66.9,6.34,garlic,Complete (14-14-14)
57.2,27.1,60.0,27.6,64.73,6.94,cassava,Muriate of Potash (0-0-60)
100.7,51.2,40.6,26.32,88.32,6.89,rice,Complete (14-14-14)
74.8,24.7,76.8,27.29,82.03,5.3,abaca,Complete (14-14-14)
53.7,33.6,60.4,26.01,58.57,5.91,cassava,Muriate of Potash (0-0-60)
23.2,4.1,29.1,25.91,80.66,7.86,coconut,Muriate of Potash (0-0-60)
16.0,18.3,24.9,31.57,80.72,6.31,calamansi,Ammonium Sulfate (21-0-0)
110.9,24.3,33.5,24.1,72.58,5.74,coffee,Complete (14-14-14)
20.4,48.6,29.9,29.47,63.54,6.87,mungbean,Ammonium Phosphate (16-20-0)
83.4,43.0,24.5,28.48,64.95,6.92,corn,Urea (46-0-0)
49.3,22.5,91.5,25.71,72.92,6.19,sweet_potato,Muriate of Potash (0-0-60)
50.8,46.9,33.2,29.73,67.78,6.47,ampalaya,Complete (14-14-14)
23.0,24.5,33.0,32.65,75.28,4.89,rubber,Ammonium Sulfate (21-0-0)
17.4,11.5,30.7,29.05,85.93,5.62,coconut,Muriate of Potash (0-0-60)
54.9,23.5,71.0,26.23,68.11,4.92,pineapple,Muriate of Potash (0-0-60)
50.6,38.3,45.7,31.04,76.49,6.75,ampalaya,Complete (14-14-14)
71.9,48.3,46.1,26.23,65.77,6.21,garlic,Complete (14-14-14)
37.4,22.3,26.4,26.73,78.84,5.21,rubber,Ammonium Sulfate (21-0-0)
94.3,24.6,26.2,27.36,66.72,6.28,coffee,Complete (14-14-14)
66.5,50.9,75.0,22.97,66.29,5.7,tomato,Complete (14-14-14)
106.2,41.0,42.5,27.29,79.87,6.5,rice,Complete (14-14-14)
23.2,44.4,36.6,28.75,59.24,5.69,peanut,Ammonium Phosphate (16-20-0)
62.1,27.3,75.7,29.49,92.0,6.5,abaca,Complete (14-14-14)
94.9,97.0,53.5,30.55,75.52,6.66,banana,Muriate of Potash (0-0-60)
43.9,29.0,78.5,24.52,73.74,5.32,pineapple,Muriate of Potash (0-0-60)
57.2,31.7,31.4,31.73,61.22,6.76,okra,Complete (14-14-14)
42.7,27.6,86.8,25.02,68.1,5.65,sweet_potato,Muriate of Potash (0-0-60)
111.1,58.4,41.9,27.18,83.79,6.03,rice,Complete (14-14-14)
72.9,45.3,52.3,25.46,68.96,6.7,onion,Complete (14-14-14)
48.3,34.2,66.7,24.96,64.78,5.03,cassava,Muriate of Potash (0-0-60)
59.6,38.2,41.4,25.78,72.31,6.65,ampalaya,Complete (14-14-14)
76.3,41.3,41.6,27.24,67.88,6.97,onion,Complete (14-14-14)
23.9,11.2,28.2,25.91,91.05,6.78,coconut,Muriate of Potash (0-0-60)
87.0,50.7,55.6,23.03,58.11,6.31,onion,Complete (14-14-14)
53.5,26.5,82.5,24.86,61.31,6.19,tobacco,Ammonium Sulfate (21-0-0)
75.5,52.4,86.5,26.6,64.96,5.98,tomato,Complete (14-14-14)
86.2,34.2,49.3,25.82,59.16,6.81,onion,Complete (14-14-14)
83.0,31.2,87.8,25.68,90.83,5.51,abaca,Complete (14-14-14)
105.3,18.0,28.8,26.47,67.26,5.38,coffee,Complete (14-14-14)
128.1,44.0,60.1,25.02,68.7,5.56,sugarcane,Urea (46-0-0)
21.4,37.3,22.7,31.84,73.64,6.45,mungbean,Ammonium Phosphate (16-20-0)
72.8,41.4,42.4,20.33,70.56,6.19,onion,Complete (14-14-14)
74.0,46.6,44.4,25.95,67.45,6.48,onion,Complete (14-14-14)
118.4,49.2,56.7,27.13,68.28,6.64,sugarcane,Urea (46-0-0)
98.2,59.0,44.0,25.62,78.21,6.29,rice,Complete (14-14-14)
79.4,47.5,57.1,21.35,65.07,6.76,garlic,Complete (14-14-14)
107.5,53.7,44.2,27.45,80.58,6.61,rice,Complete (14-14-14)
52.8,33.3,67.0,28.14,64.38,6.98,cassava,Muriate of Potash (0-0-60)
97.1,17.9,32.8,22.91,70.55,6.07,coffee,Complete (14-14-14)
65.9,33.6,53.9,19.58,57.02,6.77,onion,Complete (14-14-14)
113.8,92.8,50.8,25.47,81.84,5.76,banana,Muriate of Potash (0-0-60)
15.5,8.4,23.9,26.52,79.65,7.59,coconut,Muriate of Potash (0-0-60)
72.5,45.8,70.5,20.63,64.31,6.5,tomato,Complete (14-14-14)
104.9,20.8,27.1,24.24,61.34,5.97,coffee,Complete (14-14-14)
85.5,35.9,50.3,22.21,59.24,6.03,garlic,Complete (14-14-14)
14.9,16.0,29.2,32.7,51.74,6.23,mango,Complete (14-14-14)
72.3,43.1,58.5,22.5,62.4,6.57,garlic,Complete (14-14-14)
49.3,52.9,51.4,28.14,77.0,6.22,papaya,Complete (14-14-14)
99.7,79.4,51.1,27.7,78.98,5.8,banana,Muriate of Potash (0-0-60)
15.1,14.4,29.5,25.83,91.49,5.54,coconut,Muriate of Potash (0-0-60)
83.1,40.3,44.0,27.23,77.2,6.46,cacao,Complete (14-14-14)
45.7,22.7,76.8,25.66,68.3,6.34,tobacco,Ammonium Sulfate (21-0-0)
31.8,21.4,23.6,27.14,84.63,5.15,rubber,Ammonium Sulfate (21-0-0)
42.8,47.2,49.3,30.24,69.62,6.1,ampalaya,Complete (14-14-14)
45.4,32.8,83.8,27.05,62.53,6.13,sweet_potato,Muriate of Potash (0-0-60)
72.1,31.2,51.3,23.93,62.11,6.46,onion,Complete (14-14-14)
96.5,20.7,33.4,24.23,75.93,5.17,coffee,Complete (14-14-14)
50.9,51.1,53.9,27.52,73.8,5.68,papaya,Complete (14-14-14)
53.8,59.8,47.9,26.43,73.66,6.68,papaya,Complete (14-14-14)
30.7,26.3,91.4,25.74,69.75,5.68,sweet_potato,Muriate of Potash (0-0-60)
29.0,15.6,34.5,27.03,74.36,5.74,rubber,Ammonium Sulfate (21-0-0)
126.7,58.2,49.7,33.81,65.72,5.68,sugarcane,Urea (46-0-0)
19.4,39.8,21.8,25.4,63.25,6.07,mungbean,Ammonium Phosphate (16-20-0)
22.5,7.2,29.8,29.68,87.47,6.59,coconut,Muriate of Potash (0-0-60)
37.6,27.5,64.1,27.94,61.98,6.14,sweet_potato,Muriate of Potash (0-0-60)
22.3,9.0,31.5,26.95,89.92,6.41,coconut,Muriate of Potash (0-0-60)
42.6,30.5,78.3,32.1,59.41,6.84,cassava,Muriate of Potash (0-0-60)
58.5,17.3,82.6,29.11,65.81,5.82,pineapple,Muriate of Potash (0-0-60)
123.0,40.2,44.4,33.95,72.28,7.1,sugarcane,Urea (46-0-0)
47.6,28.5,70.9,22.87,64.65,6.15,sweet_potato,Muriate of Potash (0-0-60)
23.0,31.2,31.6,26.31,75.73,5.02,rubber,Ammonium Sulfate (21-0-0)
37.6,14.7,83.5,29.12,77.99,4.99,pineapple,Muriate of Potash (0-0-60)
16.7,13.8,16.7,26.69,84.36,5.54,calamansi,Ammonium Sulfate (21-0-0)
49.6,51.3,54.3,28.88,77.06,5.76,papaya,Complete (14-14-14)
34.9,15.6,32.3,25.09,84.3,5.72,rubber,Ammonium Sulfate (21-0-0)
64.5,53.7,58.2,25.36,73.01,6.38,eggplant,Complete (14-14-14)
23.7,18.5,28.0,28.41,57.04,5.58,mango,Complete (14-14-14)
43.7,55.3,45.0,24.19,70.29,5.67,papaya,Complete (14-14-14)
119.8,53.6,53.1,32.46,71.45,6.27,sugarcane,Urea (46-0-0)
58.0,26.8,86.5,25.14,71.35,7.11,cassava,Muriate of Potash (0-0-60)
61.5,46.3,58.4,24.23,59.19,6.17,onion,Complete (14-14-14)
63.9,44.9,59.6,22.77,62.08,5.98,tomato,Complete (14-14-14)
84.2,49.9,45.3,27.73,58.66,6.68,onion,Complete (14-14-14)
63.9,55.5,56.5,23.41,70.22,6.59,eggplant,Complete (14-14-14)
60.6,41.0,82.2,26.88,73.86,5.53,tomato,Complete (14-14-14)
74.2,45.5,57.0,26.98,85.29,6.1,cacao,Complete (14-14-14)
112.5,47.0,42.0,28.83,78.5,6.01,rice,Complete (14-14-14)
66.8,46.7,48.7,22.49,58.7,6.36,onion,Complete (14-14-14)
34.6,23.5,23.3,29.42,76.43,5.38,rubber,Ammonium Sulfate (21-0-0)
16.3,10.5,27.6,26.9,79.44,6.79,coconut,Muriate of Potash (0-0-60)
68.9,40.6,42.5,26.41,71.46,6.44,eggplant,Complete (14-14-14)
49.3,19.0,89.9,29.55,64.38,5.9,pineapple,Muriate of Potash (0-0-60)
18.1,13.2,16.8,28.57,75.45,6.29,calamansi,Ammonium Sulfate (21-0-0)
57.1,59.5,48.1,32.8,88.34,6.66,papaya,Complete (14-14-14)
16.6,41.1,26.7,27.77,70.13,6.49,mungbean,Ammonium Phosphate (16-20-0)
40.0,33.8,45.7,25.66,76.72,6.46,ampalaya,Complete (14-14-14)
83.9,31.2,47.8,25.62,60.71,6.15,garlic,Complete (14-14-14)
28.3,38.4,31.8,25.08,59.06,5.53,peanut,Ammonium Phosphate (16-20-0)
135.6,52.9,53.7,25.64,72.26,6.29,sugarcane,Urea (46-0-0)
73.1,47.3,54.9,27.08,77.36,5.66,cacao,Complete (14-14-14)
81.9,38.9,72.2,22.09,60.17,6.02,tomato,Complete (14-14-14)
114.6,92.4,51.3,27.41,81.55,6.9,banana,Muriate of Potash (0-0-60)
53.4,50.9,53.4,26.55,78.31,6.12,papaya,Complete (14-14-14)
51.5,19.5,91.8,25.1,72.48,4.98,pineapple,Muriate of Potash (0-0-60)
103.6,58.6,43.2,29.64,77.13,6.25,rice,Complete (14-14-14)
45.9,37.1,80.8,27.85,71.49,6.43,sweet_potato,Muriate of Potash (0-0-60)
47.5,55.9,45.6,24.53,81.09,5.49,papaya,Complete (14-14-14)
89.9,30.2,34.4,23.94,57.63,5.73,coffee,Complete (14-14-14)
61.4,46.6,62.2,26.4,70.75,5.7,tomato,Complete (14-14-14)
53.9,37.3,79.9,21.72,66.6,6.14,tobacco,Ammonium Sulfate (21-0-0)
40.4,34.9,77.4,26.12,60.45,6.73,sweet_potato,Muriate of Potash (0-0-60)
82.6,52.7,76.8,21.43,64.13,6.14,tomato,Complete (14-14-14)
23.9,19.5,29.5,27.53,79.27,5.83,rubber,Ammonium Sulfate (21-0-0)
70.7,29.4,58.8,26.1,57.1,6.25,onion,Complete (14-14-14)
60.1,41.3,76.5,26.35,62.64,5.59,tomato,Complete (14-14-14)
86.0,51.1,75.8,21.95,68.77,6.25,tomato,Complete (14-14-14)
42.9,30.1,86.8,30.48,71.9,6.26,cassava,Muriate of Potash (0-0-60)
91.6,86.0,46.4,26.66,86.81,6.09,banana,Muriate of Potash (0-0-60)
57.4,21.7,61.9,30.04,66.79,4.76,pineapple,Muriate of Potash (0-0-60)
24.5,33.0,30.2,28.94,55.45,5.41,peanut,Ammonium Phosphate (16-20-0)
41.2,24.7,66.9,25.69,62.04,5.99,tobacco,Ammonium Sulfate (21-0-0)
16.9,18.6,28.6,32.04,53.42,6.65,mango,Complete (14-14-14)
88.6,29.4,89.5,27.95,85.79,5.82,abaca,Complete (14-14-14)
77.8,29.6,60.2,28.66,86.48,6.32,abaca,Complete (14-14-14)
100.3,93.7,52.2,31.41,85.14,6.92,banana,Muriate of Potash (0-0-60)
80.2,45.9,40.4,30.84,87.87,6.26,rice,Complete (14-14-14)
20.8,15.6,21.3,31.04,75.52,5.84,calamansi,Ammonium Sulfate (21-0-0)
69.8,41.6,40.1,21.58,68.49,6.16,garlic,Complete (14-14-14)
73.2,40.6,53.8,22.03,63.98,6.89,garlic,Complete (14-14-14)
71.7,49.2,57.4,24.43,83.92,5.87,cacao,Complete (14-14-14)
17.8,9.8,29.5,31.78,88.88,5.41,coconut,Muriate of Potash (0-0-60)
19.1,15.9,21.2,30.57,76.59,6.36,calamansi,Ammonium Sulfate (21-0-0)
109.6,17.7,29.5,22.46,79.29,6.19,coffee,Complete (14-14-14)
76.9,43.4,54.1,31.21,85.76,6.87,cacao,Complete (14-14-14)
53.0,40.9,35.7,25.55,65.4,6.47,okra,Complete (14-14-14)
51.2,16.7,78.2,24.79,78.81,4.78,pineapple,Muriate of Potash (0-0-60)
44.1,28.1,61.2,23.26,63.12,6.4,tobacco,Ammonium Sulfate (21-0-0)
56.6,54.3,54.9,29.27,80.41,6.73,papaya,Complete (14-14-14)
53.1,56.4,47.6,28.93,89.28,6.24,papaya,Complete (14-14-14)
40.8,18.5,24.3,25.71,76.97,5.15,rubber,Ammonium Sulfate (21-0-0)
31.5,22.3,21.1,27.5,86.97,5.72,rubber,Ammonium Sulfate (21-0-0)
77.0,48.3,58.1,26.7,61.16,6.76,garlic,Complete (14-14-14)
112.0,92.3,53.3,26.6,87.36,6.49,banana,Muriate of Potash (0-0-60)
18.4,30.0,47.0,26.59,60.84,6.25,peanut,Ammonium Phosphate (16-20-0)
38.1,19.8,26.9,25.09,75.1,4.56,rubber,Ammonium Sulfate (21-0-0)
16.9,45.6,39.5,26.86,63.27,5.74,peanut,Ammonium Phosphate (16-20-0)
52.3,38.7,82.8,24.03,58.05,6.27,tobacco,Ammonium Sulfate (21-0-0)
53.9,31.9,80.1,30.67,57.31,5.17,cassava,Muriate of Potash (0-0-60)
114.9,92.3,52.1,25.21,89.62,5.7,banana,Muriate of Potash (0-0-60)
51.1,51.4,45.1,26.86,79.25,6.24,papaya,Complete (14-14-14)
101.7,47.2,57.6,29.38,72.13,6.86,sugarcane,Urea (46-0-0)
17.9,17.7,26.2,31.18,49.35,6.49,mango,Complete (14-14-14)
89.1,48.8,24.7,27.93,68.76,6.11,corn,Urea (46-0-0)
20.7,47.7,27.8,25.69,70.26,6.21,mungbean,Ammonium Phosphate (16-20-0)
36.7,23.3,64.3,26.88,66.11,6.51,sweet_potato,Muriate of Potash (0-0-60)
80.3,51.5,44.4,30.96,82.34,6.3,rice,Complete (14-14-14)
86.9,58.8,24.7,25.71,68.64,6.53,corn,Urea (46-0-0)
64.4,31.3,60.7,26.53,77.61,5.63,cacao,Complete (14-14-14)
110.0,88.3,48.8,27.76,81.43,6.27,banana,Muriate of Potash (0-0-60)
35.8,35.5,75.8,28.0,69.48,6.43,sweet_potato,Muriate of Potash (0-0-60)
60.4,32.8,78.9,24.17,58.98,5.61,tobacco,Ammonium Sulfate (21-0-0)
107.3,55.6,43.3,29.83,78.21,6.1,rice,Complete (14-14-14)
114.6,40.2,56.7,28.99,61.71,6.7,sugarcane,Urea (46-0-0)
38.1,27.7,20.4,29.25,81.52,4.88,rubber,Ammonium Sulfate (21-0-0)
53.3,38.0,44.6,32.25,64.69,6.17,ampalaya,Complete (14-14-14)
104.2,87.0,44.7,25.45,85.12,6.71,banana,Muriate of Potash (0-0-60)
52.3,34.8,33.9,25.54,70.91,6.33,okra,Complete (14-14-14)
97.8,55.7,24.5,26.86,59.68,7.32,corn,Urea (46-0-0)
50.1,36.2,86.8,29.53,62.57,6.47,tobacco,Ammonium Sulfate (21-0-0)
43.1,26.9,62.2,28.22,66.5,5.76,tobacco,Ammonium Sulfate (21-0-0)
22.8,18.1,31.3,36.64,56.24,5.62,mango,Complete (14-14-14)
96.2,82.9,51.5,26.52,88.07,6.18,banana,Muriate of Potash (0-0-60)
44.4,57.0,53.6,30.61,89.78,5.65,papaya,Complete (14-14-14)
22.2,12.5,35.4,26.68,84.72,7.04,coconut,Muriate of Potash (0-0-60)
88.7,58.3,83.3,21.69,69.77,5.76,tomato,Complete (14-14-14)
88.1,42.3,43.7,25.21,70.65,6.15,garlic,Complete (14-14-14)
45.9,21.7,73.1,24.75,67.53,4.73,pineapple,Muriate of Potash (0-0-60)
17.3,43.9,30.1,28.16,60.6,6.39,mungbean,Ammonium Phosphate (16-20-0)
22.0,46.4,25.1,25.38,74.03,6.64,mungbean,Ammonium Phosphate (16-20-0)
74.4,35.6,42.9,26.24,56.63,6.63,garlic,Complete (14-14-14)
49.4,61.6,47.4,28.69,85.43,6.63,papaya,Complete (14-14-14)
66.2,33.9,62.3,26.85,91.84,5.43,abaca,Complete (14-14-14)
49.1,63.1,51.6,32.56,76.1,6.74,papaya,Complete (14-14-14)
44.2,24.8,60.8,28.86,67.38,5.27,cassava,Muriate of Potash (0-0-60)
23.8,16.0,21.2,25.53,71.45,5.58,calamansi,Ammonium Sulfate (21-0-0)
16.7,45.9,29.7,29.69,64.39,6.78,mungbean,Ammonium Phosphate (16-20-0)
23.4,43.3,29.0,28.0,65.87,6.0,mungbean,Ammonium Phosphate (16-20-0)
84.6,32.2,51.5,27.49,86.29,6.91,cacao,Complete (14-14-14)
24.9,42.5,24.0,30.45,67.25,6.85,mungbean,Ammonium Phosphate (16-20-0)
28.7,25.4,23.4,28.59,77.12,4.96,rubber,Ammonium Sulfate (21-0-0)
38.4,23.9,88.8,23.87,67.75,5.56,sweet_potato,Muriate of Potash (0-0-60)
45.3,27.4,69.6,24.01,72.55,5.07,pineapple,Muriate of Potash (0-0-60)
48.2,20.6,76.8,24.33,67.99,6.66,sweet_potato,Muriate of Potash (0-0-60)
61.5,49.8,53.2,23.62,63.17,6.31,garlic,Complete (14-14-14)
87.1,40.1,49.4,23.62,55.82,6.09,onion,Complete (14-14-14)
44.0,23.2,80.1,26.76,60.39,6.7,sweet_potato,Muriate of Potash (0-0-60)
50.7,22.9,75.8,23.67,72.36,5.83,sweet_potato,Muriate of Potash (0-0-60)
33.8,21.2,29.4,27.91,84.25,5.66,rubber,Ammonium Sulfate (21-0-0)
44.0,34.1,84.0,24.62,69.14,5.38,cassava,Muriate of Potash (0-0-60)
84.3,51.7,44.5,27.86,78.54,6.43,rice,Complete (14-14-14)
103.1,15.2,29.8,25.11,77.18,6.31,coffee,Complete (14-14-14)
20.9,41.5,26.1,27.76,67.83,6.8,mungbean,Ammonium Phosphate (16-20-0)
73.9,34.3,47.2,21.64,61.72,6.52,garlic,Complete (14-14-14)
66.9,43.5,53.6,25.47,73.36,6.49,eggplant,Complete (14-14-14)
59.4,29.4,73.7,25.19,77.73,5.91,pineapple,Muriate of Potash (0-0-60)
105.9,26.5,33.1,21.08,76.45,5.13,coffee,Complete (14-14-14)
15.9,45.6,32.1,27.68,58.18,6.33,peanut,Ammonium Phosphate (16-20-0)
79.6,43.2,59.7,22.92,63.96,6.83,garlic,Complete (14-14-14)
56.7,34.0,43.5,28.19,70.44,6.76,ampalaya,Complete (14-14-14)
82.6,51.6,85.2,20.99,72.27,6.07,tomato,Complete (14-14-14)
48.6,22.6,62.2,31.64,71.87,6.34,cassava,Muriate of Potash (0-0-60)
107.7,87.2,48.6,29.57,81.63,5.67,banana,Muriate of Potash (0-0-60)
64.6,28.7,75.4,28.13,93.61,5.54,abaca,Complete (14-14-14)
43.8,63.4,47.7,28.11,84.07,6.4,papaya,Complete (14-14-14)
22.1,14.9,22.9,29.37,73.28,5.8,calamansi,Ammonium Sulfate (21-0-0)
113.0,83.2,49.6,28.84,90.79,5.98,banana,Muriate of Potash (0-0-60)
64.8,44.4,50.6,24.59,58.6,6.86,onion,Complete (14-14-14)
70.6,41.1,53.7,26.15,61.26,6.34,garlic,Complete (14-14-14)
37.7,20.5,35.8,27.49,84.42,4.78,rubber,Ammonium Sulfate (21-0-0)
43.3,23.0,88.7,25.15,68.31,5.66,pineapple,Muriate of Potash (0-0-60)
48.8,21.2,69.5,29.21,74.45,5.43,pineapple,Muriate of Potash (0-0-60)
92.4,23.1,26.2,23.16,76.67,6.04,coffee,Complete (14-14-14)
39.3,36.6,88.5,28.0,62.44,5.62,tobacco,Ammonium Sulfate (21-0-0)
21.0,11.4,19.5,28.32,81.11,6.01,calamansi,Ammonium Sulfate (21-0-0)
99.1,47.5,22.0,25.31,67.1,5.46,corn,Urea (46-0-0)
89.3,48.2,44.1,21.72,68.33,6.12,onion,Complete (14-14-14)
63.1,50.7,50.9,25.75,65.95,6.36,eggplant,Complete (14-14-14)
56.0,46.6,55.0,30.46,83.71,6.75,papaya,Complete (14-14-14)
54.7,39.3,77.4,29.51,60.11,6.6,cassava,Muriate of Potash (0-0-60)
79.3,35.0,79.3,27.27,89.56,5.62,abaca,Complete (14-14-14)
17.0,49.3,47.7,27.37,57.19,6.35,peanut,Ammonium Phosphate (16-20-0)
106.5,92.9,48.1,25.57,76.16,6.79,banana,Muriate of Potash (0-0-60)
23.2,13.7,16.0,26.5,74.72,5.63,calamansi,Ammonium Sulfate (21-0-0)
55.3,39.0,48.1,25.96,73.46,6.53,ampalaya,Complete (14-14-14)
47.6,28.1,62.0,28.5,74.18,6.45,cassava,Muriate of Potash (0-0-60)
41.5,52.0,52.8,31.97,84.98,6.08,papaya,Complete (14-14-14)
53.3,37.4,75.6,25.1,60.79,6.92,cassava,Muriate of Potash (0-0-60)
37.1,40.8,64.2,24.65,74.53,6.79,sweet_potato,Muriate of Potash (0-0-60)
48.3,22.9,72.3,27.53,65.52,6.62,cassava,Muriate of Potash (0-0-60)
29.3,24.1,20.6,29.83,89.61,5.18,rubber,Ammonium Sulfate (21-0-0)
119.9,71.1,48.5,31.54,81.73,5.54,banana,Muriate of Potash (0-0-60)
72.3,43.4,45.4,25.85,85.03,6.65,cacao,Complete (14-14-14)
53.3,22.5,66.2,31.28,68.52,6.16,cassava,Muriate of Potash (0-0-60)
89.7,99.1,49.0,25.59,81.88,6.42,banana,Muriate of Potash (0-0-60)
48.3,25.2,86.1,28.8,69.59,5.54,pineapple,Muriate of Potash (0-0-60)
99.4,18.2,26.5,24.83,77.21,5.59,coffee,Complete (14-14-14)
76.5,46.3,51.1,22.51,63.42,6.56,garlic,Complete (14-14-14)
83.5,45.4,60.4,20.54,66.65,6.8,garlic,Complete (14-14-14)
21.4,7.7,28.1,27.21,92.15,6.36,coconut,Muriate of Potash (0-0-60)
16.5,12.1,24.3,24.22,74.59,6.36,calamansi,Ammonium Sulfate (21-0-0)
86.6,47.9,45.2,29.82,75.76,6.29,eggplant,Complete (14-14-14)
28.6,31.7,39.9,25.09,62.99,6.5,peanut,Ammonium Phosphate (16-20-0)
24.4,47.3,23.9,30.71,68.44,6.21,mungbean,Ammonium Phosphate (16-20-0)
97.0,56.8,25.0,24.46,60.3,7.24,corn,Urea (46-0-0)
21.1,37.4,33.4,28.02,69.24,5.89,peanut,Ammonium Phosphate (16-20-0)
117.7,48.0,40.9,27.48,85.6,6.66,rice,Complete (14-14-14)
22.9,47.8,46.4,27.27,59.25,5.5,peanut,Ammonium Phosphate (16-20-0)
56.9,24.3,71.7,29.0,68.73,4.73,pineapple,Muriate of Potash (0-0-60)
42.2,41.7,42.0,29.32,68.7,6.35,okra,Complete (14-14-14)
104.3,79.5,46.5,26.96,75.82,6.44,banana,Muriate of Potash (0-0-60)
113.0,93.3,54.4,26.28,88.28,6.96,banana,Muriate of Potash (0-0-60)
70.8,41.2,75.9,21.95,71.82,6.62,tomato,Complete (14-14-14)
69.8,22.3,66.2,26.45,89.91,6.15,abaca,Complete (14-14-14)
23.5,11.6,30.0,29.09,89.38,5.4,coconut,Muriate of Potash (0-0-60)
108.4,85.8,52.4,26.56,89.16,5.66,banana,Muriate of Potash (0-0-60)
69.9,54.2,68.7,25.83,64.3,6.5,tomato,Complete (14-14-14)
21.6,10.9,22.0,28.73,73.99,5.89,calamansi,Ammonium Sulfate (21-0-0)
116.2,51.2,53.8,29.56,60.03,6.81,sugarcane,Urea (46-0-0)
22.9,10.1,27.7,31.88,93.45,7.92,coconut,Muriate of Potash (0-0-60)
68.7,42.8,54.3,23.1,56.71,6.17,garlic,Complete (14-14-14)
85.1,53.4,54.7,28.88,76.75,6.41,eggplant,Complete (14-14-14)
21.4,12.9,33.6,29.96,92.96,7.58,coconut,Muriate of Potash (0-0-60)
44.4,56.2,53.2,24.7,83.43,6.74,papaya,Complete (14-14-14)
50.0,26.9,64.5,25.39,66.72,5.27,cassava,Muriate of Potash (0-0-60)
27.2,21.5,35.6,29.73,88.45,5.07,rubber,Ammonium Sulfate (21-0-0)
41.0,28.1,85.2,24.78,63.07,5.86,sweet_potato,Muriate of Potash (0-0-60)
81.5,35.7,76.8,31.58,92.99,6.4,abaca,Complete (14-14-14)
16.7,10.6,22.9,25.07,82.63,5.67,calamansi,Ammonium Sulfate (21-0-0)
59.3,23.5,87.1,25.24,64.29,5.69,tobacco,Ammonium Sulfate (21-0-0)
25.2,15.4,29.1,33.02,68.0,7.01,mango,Complete (14-14-14)
106.9,53.3,55.6,27.66,62.1,7.43,sugarcane,Urea (46-0-0)
19.7,5.0,29.5,26.61,87.11,6.73,coconut,Muriate of Potash (0-0-60)
62.8,37.7,44.8,25.96,59.91,6.39,garlic,Complete (14-14-14)
99.7,22.0,30.4,20.47,64.11,6.21,coffee,Complete (14-14-14)
44.3,36.5,75.5,25.77,63.61,6.49,sweet_potato,Muriate of Potash (0-0-60)
23.1,7.8,26.6,26.4,82.57,6.99,coconut,Muriate of Potash (0-0-60)
120.5,51.6,39.3,27.35,75.41,7.03,sugarcane,Urea (46-0-0)
67.7,31.0,86.6,26.38,68.82,6.41,tobacco,Ammonium Sulfate (21-0-0)
15.1,18.3,16.2,30.02,84.91,6.29,calamansi,Ammonium Sulfate (21-0-0)
89.6,49.7,63.4,23.51,73.9,5.62,tomato,Complete (14-14-14)
96.2,87.8,51.3,27.67,82.56,6.16,banana,Muriate of Potash (0-0-60)
49.5,44.7,37.1,23.68,67.6,6.34,okra,Complete (14-14-14)
89.5,39.8,47.3,31.07,80.17,6.5,cacao,Complete (14-14-14)
57.1,31.6,71.6,29.56,65.76,5.08,cassava,Muriate of Potash (0-0-60)
116.4,51.2,46.1,32.03,72.11,5.84,sugarcane,Urea (46-0-0)
30.8,22.2,29.8,25.43,86.63,5.14,rubber,Ammonium Sulfate (21-0-0)
84.4,50.9,42.8,29.85,87.01,5.61,rice,Complete (14-14-14)
78.0,39.1,46.8,25.15,71.13,6.16,onion,Complete (14-14-14)
100.8,21.5,28.7,28.12,77.99,5.81,coffee,Complete (14-14-14)
17.4,11.3,17.2,31.9,73.94,5.9,calamansi,Ammonium Sulfate (21-0-0)
73.0,39.3,43.6,27.51,60.67,6.56,onion,Complete (14-14-14)
68.1,32.3,63.7,29.57,91.33,5.68,abaca,Complete (14-14-14)
119.5,78.4,52.4,26.49,80.74,6.85,banana,Muriate of Potash (0-0-60)
89.2,49.6,49.8,25.01,69.56,6.44,eggplant,Complete (14-14-14)
42.1,47.4,47.0,31.5,85.18,5.45,papaya,Complete (14-14-14)
25.1,36.3,42.6,28.98,67.94,5.82,peanut,Ammonium Phosphate (16-20-0)
57.7,24.3,61.5,24.62,66.0,4.91,pineapple,Muriate of Potash (0-0-60)
47.8,39.1,41.8,28.91,72.8,6.2,ampalaya,Complete (14-14-14)
106.7,86.7,48.8,31.78,77.69,6.25,banana,Muriate of Potash (0-0-60)
22.8,46.1,31.0,27.07,62.67,6.12,peanut,Ammonium Phosphate (16-20-0)
94.0,43.1,24.6,29.58,69.78,6.04,corn,Urea (46-0-0)
80.8,28.2,64.7,28.45,88.85,6.14,abaca,Complete (14-14-14)
44.3,48.6,46.3,30.22,77.7,6.35,ampalaya,Complete (14-14-14)
86.1,49.6,23.9,29.64,72.48,6.38,corn,Urea (46-0-0)
49.3,28.9,60.7,27.13,63.8,6.76,sweet_potato,Muriate of Potash (0-0-60)
56.7,31.2,89.1,32.0,64.44,6.53,cassava,Muriate of Potash (0-0-60)
